date,value
1.73E+12,75995.28
1.73E+12,77976.43
1.73E+12,71810.43
1.73E+12,74906.06
1.73E+12,75121.95
1.73E+12,73631.02
1.73E+12,71695.96
1.73E+12,78416.77
1.73E+12,70718.914
1.73E+12,72567.66
1.73E+12,70878.64
1.73E+12,80506.54
1.73E+12,75789.94
1.73E+12,75205.12
1.73E+12,77826.04
1.73E+12,77045.84
1.73E+12,73083.06
1.73E+12,77114.48
1.73E+12,79813.7
1.73E+12,74622.64
1.73E+12,71810.414
1.73E+12,70578.86
1.73E+12,75223.734
1.73E+12,74759.12
1.73E+12,76384.4
1.73E+12,71773.2
1.73E+12,75447.41
1.73E+12,74880.82
1.73E+12,78939.7
1.73E+12,72402.02
1.73E+12,73825.63
1.73E+12,73407.43
1.73E+12,78031.67
1.73E+12,83022.695
1.73E+12,78715.67
1.73E+12,71312.164
1.73E+12,74547.336
1.73E+12,74010.41
1.73E+12,79975.836
1.73E+12,75323.25
1.73E+12,76314.07
1.73E+12,57009.797
1.73E+12,60393.81
1.73E+12,56713.57
1.73E+12,61615.508
1.73E+12,67020.945
1.73E+12,106646.734
1.73E+12,100647.88
1.73E+12,105328.97
1.73E+12,109430.95
1.73E+12,112638.625
1.73E+12,118958.57
1.73E+12,120113.8
1.73E+12,121743.28
1.73E+12,118461.07
1.73E+12,116621.305
1.73E+12,121393.16
1.73E+12,114735.12
1.73E+12,122085.445
1.73E+12,120470.43
1.73E+12,115911.59
1.73E+12,120829.29
1.73E+12,117333.47
1.73E+12,119549.914
1.73E+12,114622.64
1.73E+12,112656.44
1.73E+12,116004.51
1.73E+12,115637.14
1.73E+12,116276.555
1.73E+12,114800.984
1.73E+12,115362.49
1.73E+12,118750.51
1.73E+12,117009.2
1.73E+12,116584.96
1.73E+12,119883.95
1.73E+12,117902.41
1.73E+12,112874.414
1.73E+12,122286.47
1.73E+12,120546.516
1.73E+12,119760.78
1.73E+12,124460
1.73E+12,117511.08
1.73E+12,123739.53
1.73E+12,119438.61
1.73E+12,124977.36
1.73E+12,125793.63
1.73E+12,122065.32
1.73E+12,118054.96
1.73E+12,117198.56
1.73E+12,121481.37
1.73E+12,121160.04
1.73E+12,114488.71
1.73E+12,117507
1.73E+12,113216.33
1.73E+12,116133.914
1.73E+12,118579.93
1.73E+12,118038.89
1.73E+12,114187.67
1.73E+12,112870.32
1.73E+12,117967.88
1.73E+12,115497.54
1.73E+12,117594.51
1.73E+12,117875.66
1.73E+12,116909.22
1.73E+12,119350.555
1.73E+12,119383.95
1.73E+12,126512.37
1.73E+12,119896.49
1.73E+12,121020.3
1.73E+12,123994.15
1.73E+12,117642.38
1.73E+12,120221.34
1.73E+12,115694.03
1.73E+12,120072.24
1.73E+12,117166.48
1.73E+12,118975.56
1.73E+12,120732.08
1.73E+12,116885.73
1.73E+12,120741.375
1.73E+12,119016.74
1.73E+12,116393.93
1.73E+12,121622.49
1.73E+12,114841.12
1.73E+12,118458.12
1.73E+12,121978.5
1.73E+12,117278.164
1.73E+12,119706.38
1.73E+12,118405.46
1.73E+12,119402.82
1.73E+12,124066.72
1.73E+12,122227.91
1.73E+12,119966.29
1.73E+12,125970.445
1.73E+12,117848.41
1.73E+12,118205.195
1.73E+12,120378.93
1.73E+12,120469.45
1.73E+12,125698.375
1.73E+12,119083.7
1.73E+12,117974.78
1.73E+12,122964.3
1.73E+12,122102.41
1.73E+12,122427.86
1.73E+12,123042.19
1.73E+12,123227.59
1.73E+12,116750.09
1.73E+12,119937.33
1.73E+12,117129.14
1.73E+12,120632.484
1.73E+12,117214.89
1.73E+12,119166.53
1.73E+12,119727.33
1.73E+12,120236.38
1.73E+12,115905.164
1.73E+12,120092
1.73E+12,112849.55
1.73E+12,114405.18
1.73E+12,113806.97
1.73E+12,119884.55
1.73E+12,115847.19
1.73E+12,117047.37
1.73E+12,122317.56
1.73E+12,119363.195
1.73E+12,120258.83
1.73E+12,119430.71
1.73E+12,123067.16
1.73E+12,128269.86
1.73E+12,124150.04
1.73E+12,126464.12
1.73E+12,123774.24
1.73E+12,121799.484
1.73E+12,126232.41
1.73E+12,128046.555
1.73E+12,120816.22
