date,F1,F2,F3,F4,F5,OT
2020/1/9 19:00,0.336538462,0.175438596,0.512820513,0.111111111,0.224,0.126651982
2020/1/9 20:00,0.254807692,0.219298246,0.474358974,0.074074074,0.176,0.113711454
2020/1/9 21:00,0.259615385,0.122807018,0.41025641,0.111111111,0.256,0.183370044
2020/1/9 22:00,0.367788462,0.109649123,0.522435897,0.111111111,0.324,0.230313877
2020/1/9 23:00,0.259615385,0.122807018,0.493589744,0.148148148,0.264,0.171255507
2020/1/10 0:00,0.317307692,0.192982456,0.352564103,0.111111111,0.224,0.134361233
2020/1/10 1:00,0.355769231,0.122807018,0.544871795,0.111111111,0.328,0.234856828
2020/1/10 2:00,0.205128205,0.192982456,0.337606838,0.074074074,0.216,0.168318649
2020/1/10 3:00,0.237179487,0.169590643,0.433760684,0.098765432,0.224,0.147577093
2020/1/10 4:00,0.264423077,0.184210526,0.451923077,0.074074074,0.22,0.150055066
2020/1/10 5:00,0.230769231,0.157894737,0.416666667,0.111111111,0.216,0.142621145
2020/1/10 6:00,0.274038462,0.166666667,0.394230769,0.074074074,0.26,0.186949339
2020/1/10 7:00,0.240384615,0.140350877,0.461538462,0.092592593,0.26,0.177588106
2020/1/10 8:00,0.283653846,0.122807018,0.471153846,0.111111111,0.304,0.190803965
2020/1/10 9:00,0.293269231,0.157894737,0.439102564,0.111111111,0.256,0.169878855
2020/1/10 10:00,0.269230769,0.105263158,0.46474359,0.12962963,0.26,0.163270925
2020/1/10 11:00,0.302884615,0.122807018,0.467948718,0.111111111,0.292,0.19438326
2020/1/10 12:00,0.362179487,0.222222222,0.371794872,0.12345679,0.269333333,0.193649046
2020/1/10 13:00,0.288461538,0.166666667,0.416666667,0.12962963,0.296,0.214757709
2020/1/10 14:00,0.326923077,0.096491228,0.5,0.166666667,0.308,0.200991189
2020/1/10 15:00,0.310897436,0.128654971,0.476495726,0.135802469,0.269333333,0.169970631
2020/1/10 16:00,0.480769231,0.105263158,0.5,0.166666667,0.372,0.278909692
2020/1/10 17:00,0.259615385,0.210526316,0.391025641,0.111111111,0.232,0.150881057
2020/1/10 18:00,0.341346154,0.175438596,0.391025641,0.111111111,0.284,0.195209251
2020/1/10 19:00,0.519230769,0.157894737,0.442307692,0.148148148,0.344,0.262665198
2020/1/10 20:00,0.294871795,0.122807018,0.429487179,0.111111111,0.258666667,0.169052863
2020/1/10 21:00,0.331730769,0.201754386,0.355769231,0.092592593,0.248,0.177863436
2020/1/10 22:00,0.235576923,0.236842105,0.326923077,0.055555556,0.148,0.099118943
2020/1/10 23:00,0.331730769,0.166666667,0.416666667,0.111111111,0.232,0.156938326
2020/1/11 0:00,0.28525641,0.210526316,0.393162393,0.074074074,0.184,0.134544787
2020/1/11 1:00,0.240384615,0.438596491,0.224358974,0.037037037,0.072,0.044052863
2020/1/11 2:00,0.259615385,0.377192982,0.275641026,0.018518519,0.108,0.076817181
2020/1/11 3:00,0.25,0.263157895,0.320512821,0.074074074,0.176,0.133810573
2020/1/11 4:00,0.323717949,0.175438596,0.373931624,0.086419753,0.256,0.203744493
2020/1/11 5:00,0.326923077,0.157894737,0.397435897,0.148148148,0.264,0.20814978
2020/1/11 6:00,0.442307692,0.16374269,0.41025641,0.12345679,0.328,0.26174743
2020/1/11 7:00,0.288461538,0.201754386,0.432692308,0.092592593,0.244,0.196035242
2020/1/11 8:00,0.25,0.245614035,0.358974359,0.074074074,0.192,0.136563877
2020/1/11 9:00,0.278846154,0.131578947,0.423076923,0.12962963,0.296,0.225770925
2020/1/11 10:00,0.240384615,0.166666667,0.371794872,0.111111111,0.264,0.217235683
2020/1/11 11:00,0.21474359,0.239766082,0.329059829,0.12345679,0.2,0.157305433
2020/1/11 12:00,0.235576923,0.236842105,0.397435897,0.12962963,0.2,0.147026432
2020/1/11 13:00,0.221153846,0.201754386,0.368589744,0.092592593,0.252,0.204845815
2020/1/11 14:00,0.163461538,0.245614035,0.346153846,0.111111111,0.2,0.168502203
2020/1/11 15:00,0.358974359,0.169590643,0.450854701,0.172839506,0.304,0.227973568
2020/1/11 16:00,0.336538462,0.140350877,0.506410256,0.148148148,0.296,0.196035242
2020/1/11 17:00,0.28525641,0.134502924,0.416666667,0.197530864,0.32,0.225770925
2020/1/11 18:00,0.278846154,0.140350877,0.448717949,0.185185185,0.304,0.21530837
2020/1/11 19:00,0.302884615,0.140350877,0.407051282,0.166666667,0.292,0.196310573
2020/1/11 20:00,0.294871795,0.204678363,0.386752137,0.185185185,0.237333333,0.158406755
2020/1/11 21:00,0.336538462,0.149122807,0.445512821,0.203703704,0.3,0.208975771
2020/1/11 22:00,0.245192308,0.140350877,0.407051282,0.185185185,0.288,0.211178414
2020/1/11 23:00,0.341346154,0.166666667,0.407051282,0.166666667,0.256,0.172081498
2020/1/12 0:00,0.326923077,0.157894737,0.442307692,0.185185185,0.288,0.181718062
2020/1/12 1:00,0.302884615,0.166666667,0.407051282,0.185185185,0.268,0.189702643
2020/1/12 2:00,0.496794872,0.122807018,0.561965812,0.197530864,0.341333333,0.25458884
2020/1/12 3:00,0.355769231,0.157894737,0.432692308,0.12962963,0.296,0.195484581
2020/1/12 4:00,0.423076923,0.157894737,0.493589744,0.222222222,0.336,0.241189427
2020/1/12 5:00,0.448717949,0.14619883,0.467948718,0.185185185,0.314666667,0.219713656
2020/1/12 6:00,0.471153846,0.157894737,0.5,0.185185185,0.344,0.25660793
2020/1/12 7:00,0.333333333,0.216374269,0.354700855,0.148148148,0.261333333,0.198604993
2020/1/12 8:00,0.278846154,0.201754386,0.419871795,0.12962963,0.244,0.183370044
2020/1/12 9:00,0.230769231,0.228070175,0.391025641,0.111111111,0.236,0.176211454
2020/1/12 10:00,0.235576923,0.201754386,0.442307692,0.12962963,0.236,0.172081498
2020/1/12 11:00,0.288461538,0.201754386,0.391025641,0.111111111,0.272,0.19410793
2020/1/12 12:00,0.25,0.263157895,0.403846154,0.111111111,0.272,0.204845815
2020/1/12 13:00,0.291666667,0.204678363,0.482905983,0.148148148,0.248,0.174926579
2020/1/12 14:00,0.293269231,0.228070175,0.426282051,0.092592593,0.276,0.211453744
2020/1/12 15:00,0.307692308,0.201754386,0.375,0.148148148,0.304,0.239812775
2020/1/12 16:00,0.298076923,0.192982456,0.358974359,0.111111111,0.292,0.221365639
2020/1/12 17:00,0.4375,0.131578947,0.490384615,0.203703704,0.348,0.242566079
2020/1/12 18:00,0.466346154,0.166666667,0.474358974,0.166666667,0.356,0.25688326
2020/1/12 19:00,0.387820513,0.169590643,0.416666667,0.12345679,0.306666667,0.216409692
2020/1/12 20:00,0.307692308,0.192982456,0.429487179,0.185185185,0.256,0.153634361
2020/1/12 21:00,0.625,0.105263158,0.528846154,0.203703704,0.44,0.331222467
2020/1/12 22:00,0.302884615,0.166666667,0.419871795,0.12962963,0.3,0.200165198
2020/1/12 23:00,0.275641026,0.175438596,0.442307692,0.160493827,0.274666667,0.196585903
2020/1/13 0:00,0.211538462,0.280701754,0.288461538,0.111111111,0.184,0.124449339
2020/1/13 1:00,0.225961538,0.201754386,0.304487179,0.12962963,0.232,0.155561674
2020/1/13 2:00,0.307692308,0.210526316,0.333333333,0.148148148,0.272,0.191079295
2020/1/13 3:00,0.243589744,0.239766082,0.358974359,0.135802469,0.186666667,0.129038179
2020/1/13 4:00,0.238782051,0.230994152,0.344017094,0.135802469,0.205333333,0.140143172
2020/1/13 5:00,0.233974359,0.222222222,0.329059829,0.135802469,0.224,0.151248164
2020/1/13 6:00,0.25,0.192982456,0.365384615,0.074074074,0.232,0.14592511
2020/1/13 7:00,0.25,0.245614035,0.344017094,0.111111111,0.186666667,0.13160793
2020/1/13 8:00,0.197115385,0.342105263,0.301282051,0.111111111,0.124,0.082048458
2020/1/13 9:00,0.25,0.245614035,0.394230769,0.111111111,0.172,0.121696035
2020/1/13 10:00,0.235576923,0.289473684,0.275641026,0.111111111,0.188,0.129680617
2020/1/13 11:00,0.216346154,0.324561404,0.278846154,0.111111111,0.156,0.112610132
2020/1/13 12:00,0.230769231,0.350877193,0.326923077,0.12962963,0.164,0.11784141
2020/1/13 13:00,0.3125,0.350877193,0.368589744,0.12962963,0.116,0.085903084
2020/1/13 14:00,0.4375,0.263157895,0.413461538,0.203703704,0.292,0.219988987
2020/1/13 15:00,0.336538462,0.192982456,0.474358974,0.166666667,0.32,0.222742291
2020/1/13 16:00,0.274038462,0.271929825,0.333333333,0.148148148,0.24,0.176486784
2020/1/13 17:00,0.221153846,0.289473684,0.288461538,0.092592593,0.204,0.141244493
2020/1/13 18:00,0.326923077,0.157894737,0.378205128,0.111111111,0.4,0.301762115
2020/1/13 19:00,0.28525641,0.210526316,0.358974359,0.135802469,0.333333333,0.256424376
